candidate_index,rank_r,vector_dimension_n,router_hidden_h,expected_feedback_rank,pb0_g_parameter_count,actual_parameter_count,parameter_count_delta,actual_vs_pb0_g_exact,actual_vs_canonical_exact,actual_within_budget_window,candidate_is_nonbaseline,tree_fingerprint,status,error_type,error_message
1,512,520,12,32,47437720,47437720,0,True,False,True,True,a26cccbef83b62a72db5bc607fbb28f66dcfeafbba7466f58dc70df2a4bd1e05,PASS_EXACT_PB0_G,,
2,512,504,52,32,47437816,47437816,0,True,False,True,True,f569ee7bbae6d5f9ebc3855b567f53e5b7643d4a80b1f19da3f5ebd69796e560,PASS_EXACT_PB0_G,,
3,512,496,72,32,47437864,47437864,0,True,False,True,True,229ed918fc9a622a0998b702ab208f51c080f036c248abd2d447710a51092837,PASS_EXACT_PB0_G,,
4,512,488,92,32,47437912,47437912,0,True,False,True,True,1a79bed8153ff5cb4671aff0f41d3c0533bb5df10f675f2a9bc51012119f338b,PASS_EXACT_PB0_G,,
5,360,704,13,32,47437924,47437924,0,True,False,True,True,e84896a119eff34dac5151e689d2f8fa102a6fe59b013bc7e1c0b6b7ddebdab9,PASS_EXACT_PB0_G,,
6,512,480,112,32,47437960,47437960,0,True,False,True,True,0f6cae24de310271614be405dc4b84f6618324d05af05cfc100faf5776c61d3a,PASS_EXACT_PB0_G,,
7,360,696,33,32,47437972,47437972,0,True,False,True,True,d1c1ab99ecbe937ef7762dad0c2b75a73b75da8867bcfddb23103e78684a4e97,PASS_EXACT_PB0_G,,
8,328,704,110,32,47437552,47437552,0,True,False,True,True,62beaa4cbb1b6b621c03dab24b581ba6e2dc12cca4eaa72c3ce79f847a6c74a9,PASS_EXACT_PB0_G,,
9,360,688,53,32,47438020,47438020,0,True,False,True,True,0d939cdd661785fc52864c50c5da5605c952b8c4cbb55f98d506af00579c65da,PASS_EXACT_PB0_G,,
10,328,712,90,32,47437504,47437504,0,True,False,True,True,ddf77fd038f5b02b457c1a823afe7a11ff863ba5b001f6a73cacd311dd5bc3dc,PASS_EXACT_PB0_G,,
11,360,680,73,32,47438068,47438068,0,True,False,True,True,59ccb0cf264e0c102b3f9c98eee7e6d529713bea149694d0126f27c2c7680d77,PASS_EXACT_PB0_G,,
12,328,720,70,32,47437456,47437456,0,True,False,True,True,3ac98a28f27f2110667811ee1e2c719de84db76d29230bf5d98855dbc8763a98,PASS_EXACT_PB0_G,,
13,360,672,93,32,47438116,47438116,0,True,False,True,True,6987fa52a6329fff87ce7a694aab6a854366ae6bfa6b97f343bc67b1a01a67f2,PASS_EXACT_PB0_G,,
14,328,728,50,32,47437408,47437408,0,True,False,True,True,5892b3d20b4645cf387bbfebf3942d412b9f0fb199030c29473fb32d3a7c2d65,PASS_EXACT_PB0_G,,
15,360,664,113,32,47438164,47438164,0,True,False,True,True,3c29440f075424d9900097353bde0e7a1d6e63c945edba8e05345bdab8ed8791,PASS_EXACT_PB0_G,,
16,328,736,30,32,47437360,47437360,0,True,False,True,True,cf03564580806971c8ce7db751087fb5fd0b3b6745b1a5d24d9e13e777a8af7c,PASS_EXACT_PB0_G,,
17,480,520,109,32,47437348,47437348,0,True,False,True,True,76a54d5e0390d35a6fb7ecd46b136c47ef463b10ba9f1443894e06f5800e1428,PASS_EXACT_PB0_G,,
18,328,744,10,32,47437312,47437312,0,True,False,True,True,1d6d263bd39683644942a77ca7528f070508b898ff38d58a385a700274db3e72,PASS_EXACT_PB0_G,,
19,480,528,89,32,47437300,47437300,0,True,False,True,True,a8cb3382d907f267068390791fde6736f47921d5ac1a37b5873f5bebc284617f,PASS_EXACT_PB0_G,,
20,480,536,69,32,47437252,47437252,0,True,False,True,True,00fe66734b0ce513138ec9ea0e301131d2e62e3556ec6d12b34f0e5fcc439f05,PASS_EXACT_PB0_G,,
21,480,544,49,32,47437204,47437204,0,True,False,True,True,5ca22719b628b412bf0b35c8665dca62e3eb83e4c6b8bc475783491951a46937,PASS_EXACT_PB0_G,,
22,480,552,29,32,47437156,47437156,0,True,False,True,True,77175392e6c982c9c452cb9c2052ea6ca923a05dac7f23db01d98ce8f73116b4,PASS_EXACT_PB0_G,,
23,480,560,9,32,47437108,47437108,0,True,False,True,True,b54fe1aae8941de1a759b0733363fc2f043074572b121f7bbfa10ec2c4682837,PASS_EXACT_PB0_G,,
24,392,664,16,32,47438536,47438536,0,True,False,True,True,d49d52da73081e5bbf647d857786378e971fa1a74483255763572abaa4e9ed5d,PASS_EXACT_PB0_G,,
25,296,736,127,32,47436988,47436988,0,True,False,True,True,3307e102e687abf9448751109eed5bf31aa71c0484484b316a111fc10ebdd427,PASS_EXACT_PB0_G,,
